"activity_id","institution_id","source_id","experiment_id","member_id","table_id","variable_id","grid_label","zstore","dcpp_init_year"
"AerChemMIP","BCC","BCC-ESM1","ssp370","r1i1p1f1","Amon","pr","gn","gs://cmip6/AerChemMIP/BCC/BCC-ESM1/ssp370/r1i1p1f1/Amon/pr/gn/",""
"AerChemMIP","BCC","BCC-ESM1","ssp370","r2i1p1f1","Amon","pr","gn","gs://cmip6/AerChemMIP/BCC/BCC-ESM1/ssp370/r2i1p1f1/Amon/pr/gn/",""
"AerChemMIP","BCC","BCC-ESM1","ssp370","r3i1p1f1","Amon","pr","gn","gs://cmip6/AerChemMIP/BCC/BCC-ESM1/ssp370/r3i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","1pctCO2","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/1pctCO2/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","abrupt-4xCO2","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/abrupt-4xCO2/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","amip","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/amip/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","amip","r2i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/amip/r2i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","amip","r3i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/amip/r3i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","historical","r1i1p1f1","3hr","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/3hr/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","historical","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","historical","r1i1p1f1","day","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r1i1p1f1/day/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","historical","r2i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r2i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","historical","r3i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/historical/r3i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-CSM2-MR","piControl","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-CSM2-MR/piControl/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","1pctCO2","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/1pctCO2/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","abrupt-4xCO2","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/abrupt-4xCO2/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","amip","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/amip/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","amip","r2i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/amip/r2i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","amip","r3i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/amip/r3i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","historical","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","historical","r1i1p1f1","day","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r1i1p1f1/day/pr/gn/",""
"CMIP","BCC","BCC-ESM1","historical","r2i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r2i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","historical","r3i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/historical/r3i1p1f1/Amon/pr/gn/",""
"CMIP","BCC","BCC-ESM1","piControl","r1i1p1f1","Amon","pr","gn","gs://cmip6/CMIP/BCC/BCC-ESM1/piControl/r1i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-GHG","r1i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-GHG/r1i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-GHG","r2i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-GHG/r2i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-GHG","r3i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-GHG/r3i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-aer","r1i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-aer/r1i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-aer","r2i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-aer/r2i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-aer","r3i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-aer/r3i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-nat","r1i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-nat/r1i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-nat","r2i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-nat/r2i1p1f1/Amon/pr/gn/",""
"DAMIP","BCC","BCC-CSM2-MR","hist-nat","r3i1p1f1","Amon","pr","gn","gs://cmip6/DAMIP/BCC/BCC-CSM2-MR/hist-nat/r3i1p1f1/Amon/pr/gn/",""
"LUMIP","BCC","BCC-CSM2-MR","deforest-globe","r1i1p1f1","Amon","pr","gn","gs://cmip6/LUMIP/BCC/BCC-CSM2-MR/deforest-globe/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp126","r1i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp126/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp245","r1i1p1f1","3hr","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/3hr/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp245","r1i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp245","r1i1p1f1","day","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp245/r1i1p1f1/day/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp370","r1i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp370/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp585","r1i1p1f1","3hr","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp585/r1i1p1f1/3hr/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp585","r1i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp585/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-CSM2-MR","ssp585","r1i1p1f1","day","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-CSM2-MR/ssp585/r1i1p1f1/day/pr/gn/",""
"ScenarioMIP","BCC","BCC-ESM1","ssp370","r1i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-ESM1/ssp370/r1i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-ESM1","ssp370","r2i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-ESM1/ssp370/r2i1p1f1/Amon/pr/gn/",""
"ScenarioMIP","BCC","BCC-ESM1","ssp370","r3i1p1f1","Amon","pr","gn","gs://cmip6/ScenarioMIP/BCC/BCC-ESM1/ssp370/r3i1p1f1/Amon/pr/gn/",""